GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Analytics,com.example.Analytics.logic.model.productModel,Product.ProductBuilder,12,42,0,0,0,1,1,7,1,7
Analytics,com.example.Analytics.logic.model.productModel,Consumption.ConsumptionBuilder,6,21,0,0,0,1,1,4,1,4
Analytics,com.example.Analytics.logic.model.productModel,Consumption,0,30,0,0,0,6,0,7,0,7
Analytics,com.example.Analytics.logic.model.productModel,Product,0,60,0,0,0,9,0,13,0,13
Analytics,com.example.Analytics.logic.model.productModel,Duration,0,17,0,0,0,6,0,3,0,3
Analytics,com.example.Analytics.logic.model.productModel,Nutrition,0,70,0,0,0,10,0,15,0,15
Analytics,com.example.Analytics.logic.model.productModel,Nutrition.NutritionBuilder,14,49,0,0,0,1,1,8,1,8
Analytics,com.example.Analytics,ExcelWriter,45,217,2,2,7,42,2,5,0,5
Analytics,com.example.Analytics,AnalyticsApplication,5,3,0,0,2,1,1,1,1,1
Analytics,com.example.Analytics.logic.model.generalModel,BankAccount.BankAccountBuilder,11,16,0,0,0,1,2,3,2,3
Analytics,com.example.Analytics.logic.model.generalModel,FilterElement.FilterElementBuilder,8,28,0,0,0,1,1,5,1,5
Analytics,com.example.Analytics.logic.model.generalModel,BankAccount,6,16,0,0,2,3,2,3,2,3
Analytics,com.example.Analytics.logic.model.generalModel,YearlyMonth,0,15,0,0,0,5,0,2,0,2
Analytics,com.example.Analytics.logic.model.generalModel,FilterElement,12,25,0,0,1,4,3,5,3,5
Analytics,com.example.Analytics.logic.model.generalModel,MonetaryAmount,0,16,0,0,0,4,0,4,0,4
Analytics,com.example.Analytics.logic.model.generalModel,Label,6,0,0,0,1,0,1,0,1,0
Analytics,com.example.Analytics.logic.model.generalModel,AmountMonthsAgo,0,15,0,0,0,6,0,3,0,3
Analytics,com.example.Analytics.infrastructure.kafka,KafkaTransactionMessageConsumer,10,85,0,0,4,21,0,3,0,3
Analytics,com.example.Analytics.infrastructure.kafka,KafkaProductMessageConsumer,5,42,0,0,2,11,0,2,0,2
Analytics,com.example.Analytics.logic.model.forecast,Forecast.ForecastBuilder,6,21,0,0,0,1,1,4,1,4
Analytics,com.example.Analytics.logic.model.forecast,RecurringSavingsGoal,3,0,0,0,1,0,1,0,1,0
Analytics,com.example.Analytics.logic.model.forecast,Forecast,0,19,0,0,0,4,0,4,0,4
Analytics,com.example.Analytics.logic.operations,ProductService,0,91,1,3,0,20,1,8,0,7
Analytics,com.example.Analytics.logic.operations,BudgetService,15,445,6,34,3,85,5,34,0,18
Analytics,com.example.Analytics.logic.operations,ForecastService,11,47,1,1,2,12,1,2,0,2
Analytics,com.example.Analytics.logic.operations,DietService,0,154,2,8,0,25,2,7,0,4
Analytics,com.example.Analytics.logic.operations,FixedTransactionService,0,311,2,28,0,72,2,27,0,14
Analytics,com.example.Analytics.logic.operations,VariableMonthlyTransactionService,7,360,7,33,1,84,7,32,0,19
Analytics,com.example.Analytics.logic.operations,ReportService,0,56,0,0,0,12,0,3,0,3
Analytics,com.example.Analytics.api.mapping,BudgetMapper,0,119,0,8,0,26,0,14,0,10
Analytics,com.example.Analytics.api.mapping,ProductMapper,0,116,1,15,0,34,1,12,0,5
Analytics,com.example.Analytics.api.mapping,ForecastMapper,0,35,0,0,0,8,0,3,0,3
Analytics,com.example.Analytics.api.mapping,TransactionMapper,6,288,6,25,3,90,6,29,0,18
Analytics,com.example.Analytics.infrastructure.kafka.config,UpdateType,0,21,0,0,0,2,0,1,0,1
Analytics,com.example.Analytics.infrastructure.kafka.config,KafkaConsumerConfig,0,41,0,0,0,8,0,3,0,3
Analytics,com.example.Analytics.logic.model.budgetModel,BudgetPlan,3,77,0,0,1,19,1,12,1,12
Analytics,com.example.Analytics.logic.model.budgetModel,Periodicity,0,42,0,0,0,6,0,3,0,3
Analytics,com.example.Analytics.logic.model.budgetModel,Transaction,6,94,0,0,2,11,2,19,2,19
Analytics,com.example.Analytics.logic.model.budgetModel,BudgetElement,4,23,0,0,0,4,1,5,1,5
Analytics,com.example.Analytics.logic.model.budgetModel,VariableMonthlyTransaction,9,331,6,28,2,73,6,31,0,20
Analytics,com.example.Analytics.logic.model.budgetModel,TransactionType,0,15,0,0,0,2,0,1,0,1
Analytics,com.example.Analytics.logic.model.budgetModel,VariableMonthlyTransaction.VariableMonthlyTransactionBuilder,10,35,0,0,0,1,1,6,1,6
Analytics,com.example.Analytics.logic.model.budgetModel,FixedTransaction.FixedTransactionBuilder,12,42,0,0,0,1,1,7,1,7
Analytics,com.example.Analytics.logic.model.budgetModel,Transaction.TransactionBuilder,25,65,0,0,0,1,2,10,2,10
Analytics,com.example.Analytics.logic.model.budgetModel,FixedTransaction,15,148,7,7,4,23,6,19,0,18
Analytics,com.example.Analytics.logic.model.budgetModel,Category,0,12,0,0,0,3,0,3,0,3
Analytics,com.example.Analytics.logic.model.budgetModel,AchievementStatus,0,15,0,0,0,2,0,1,0,1
Analytics,com.example.Analytics.logic.model.budgetModel,BudgetPlan.BudgetPlanBuilder,10,35,0,0,0,1,1,6,1,6
Analytics,com.example.Analytics.logic.model.budgetModel,BudgetElement.BudgetElementBuilder,6,21,0,0,0,1,1,4,1,4
Analytics,com.example.Analytics.api,ForecastResource,15,9,0,0,2,1,1,1,1,1
Analytics,com.example.Analytics.api,BudgetResource,19,9,0,0,2,1,1,1,1,1
Analytics,com.example.Analytics.api,ReportResource,9,6,0,0,2,1,1,1,1,1
Analytics,com.example.Analytics.api,DietResource,22,9,0,0,3,1,1,1,1,1
